address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x3869dbae46454efb20e20c136e751a272922530d,0,0,1097577,35193.14718,28,1599536480,59314012.48,723,1719,27,0,170,11,0,400,2.541475,0,471.9995,85.924884,1746,4368.79608,2319.971862,-2048.824218,723,213,0.015697674,0.983972524,0.015455066,0.926149018,0.63760875,2.414937759,654.3909253
0x387ba35be8c8cbf2f4d3ddb571cb80069bf100e2,1,21,64774,8328.125,51,1533636020,219330721.3,21,8,7,0,6,5,0.15,3.10156,0.990485,0.25,3.101203,1.132385,15,7.92388174,7.92669574,0.002814,8,4,0.777777778,0.5,0.4375,0.542329869,0.507268028,0.714285714,1.31821122
0x387c93aa638a130c2ed81cb8e00b6bca024a5a89,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.035236,0.035236,0.035236,1,0,0.035236052,0.035236052,1,1,1,0,0.5,0,0,1,0
0x387e9cbdc326a7a68a8ac742684bb4465a94c6a4,1,5,1646735904,45778716.78,0,851780,17330.24603,41,36,126,0,6,92,0.098954,12.648834,1.791123,0.001,0.6,0.184929,162,64.48043594,23.301,-41.17943594,24,54,3.405405405,0.220858896,0.773006135,0.655835689,0.242504278,3.951219512,7.212366298
0x387fb72c15edb3484aa9a4a90817262ddf07e2c0,1,119,14565,7524,0,1643594749,39327641,95,4,42,0,4,24,0.00613,0.148722,0.078307,0.1,2,0.197619,46,0.3132274,8.3,7.9867726,4,19,8.4,0.085106383,0.893617021,0.358560766,0.444922322,0.484210526,2.200309172
0x3880138686f470e867218a565f0390897c1b7950,0,307,9087076,861328.6667,263,1502043177,31342993,1809,33,52,0,10,28,0,4.14481,0.926316,0.040121,6.0623,0.54973,85,30.5684156,28.58597359,-1.98244201,85,1,1.529411765,0.38372093,0.604651163,0.463891623,0.69489061,0.046987286,6.044183778
0x3884eb0ae2a04bce65b5b0ca9c1bd069cbd52c66,1,0,0,0,38,6475446,1129728.083,314,0,24,1,0,12,0,0,0,0,0,0,25,0,0,0,24,2,24,0,0.923076923,0,0,0.079617834,0
0x388cf3c02c034e7fe8ef164a2b414534fc212119,1,0,0,0,0,3098490,61447.07432,106,0,148,1,0,62,0,0,0,0,1,0.03982,149,0,5.893417134,5.893417134,34,39,148,0,0.986666667,0,0.909976852,1.405660377,1.729640304
0x389044f3ac7472060a0618116e3624a5f0f20f28,0,0,20469,52.568616,0,1613518398,35078762,8,9954,46,0,8021,5,0.005,51.569317,0.431477,0.006278,106,64.083414,10000,4294.920505,2947.837062,-1347.083443,8,2220,0.004620794,0.99530047,0.00459954,0.504358253,0.317592734,1250,363.0402433
0x389cc7a509555511a9b54ebdd3b7ee10348b8c8f,1,83,152922,76502.5,5430,1590693466,318168645,4,2,5,0,2,5,0.546918,8.343343,4.445131,0.001742,7.176396,1.778506,7,8.890261112,8.892529112,0.002268,4,4,1.666666667,0.25,0.625,0.438481249,0.689940707,1.75,2.91546513
0x38a19ca0b320012b1ac6227e391c11c34a12131b,1,0,0,0,8876,1610148818,201318810.4,6,1,8,0,1,8,4.01512,4.01512,4.01512,0.010011,1.998509,0.502153,9,4.01512,4.01722,0.0021,6,2,4,0.1,0.8,0,0.665368934,1.5,1.293019951
0x38a35679b1f50a4255fc52c500d023cdf59ff10c,0,16,1005166,127782.1818,0,0,0,66,44,1,0,12,1,0,1.1,0.16821,0.02,0.02,0.02,45,7.40124,0.02,-7.38124,40,5,0.022222222,0.956521739,0.02173913,0.791600789,0,0.681818182,2.482437105
0x38a6a9f7484beaaf703a8a67cdd76b5615f0fffc,0,0,1307092,32503.19501,89,1635193697,36457030.58,304,641,45,0,141,9,0,2.515682,0.221907,0.017838,5.482168,0.591168,686,142.2422199,26.60254071,-115.6396792,293,37,0.070093458,0.933042213,0.065502183,0.762158361,0.733863409,2.256578947,38.41751897
